"Statistic Label","Month","Passenger Category","UNIT","VALUE"
"Number of Passengers Departing Overseas","2023 October","All Passenger Categories","Thousand","1829.7"
"Number of Passengers Departing Overseas","2023 November","Outbound Irish","Thousand","788.4"
"Number of Passengers Departing Overseas","2023 November","Same Day Visitor: Northern Irish","Thousand","53.9"
"Number of Passengers Departing Overseas","2023 November","Same Day Visitor: Transfer","Thousand","50.4"
"Number of Passengers Departing Overseas","2023 November","Same Day Visitor: Other","Thousand","21.2"
"Number of Passengers Departing Overseas","2023 November","Overnight Foreign Resident Visitor","Thousand","447.5"
"Number of Passengers Departing Overseas","2023 November","All Passenger Categories","Thousand","1361.5"
"Number of Passengers Departing Overseas","2023 December","Outbound Irish","Thousand","892.8"
"Number of Passengers Departing Overseas","2023 December","Same Day Visitor: Northern Irish","Thousand","55.8"
"Number of Passengers Departing Overseas","2023 December","Same Day Visitor: Transfer","Thousand","68.3"
"Number of Passengers Departing Overseas","2023 December","Same Day Visitor: Other","Thousand","22.7"
"Number of Passengers Departing Overseas","2023 December","Overnight Foreign Resident Visitor","Thousand","445.2"
"Number of Passengers Departing Overseas","2023 December","All Passenger Categories","Thousand","1484.9"
"Number of Passengers Departing Overseas","2024 January","Outbound Irish","Thousand","721.2"
"Number of Passengers Departing Overseas","2024 January","Same Day Visitor: Northern Irish","Thousand","48.2"
"Number of Passengers Departing Overseas","2024 January","Same Day Visitor: Transfer","Thousand","42.2"
"Number of Passengers Departing Overseas","2024 January","Same Day Visitor: Other","Thousand","18.2"
"Number of Passengers Departing Overseas","2024 January","Overnight Foreign Resident Visitor","Thousand","451.9"
"Number of Passengers Departing Overseas","2024 January","All Passenger Categories","Thousand","1281.7"
"Number of Passengers Departing Overseas","2024 February","Outbound Irish","Thousand","761.1"
"Number of Passengers Departing Overseas","2024 February","Same Day Visitor: Northern Irish","Thousand","47.8"
"Number of Passengers Departing Overseas","2024 February","Same Day Visitor: Transfer","Thousand","26.8"
"Number of Passengers Departing Overseas","2024 February","Same Day Visitor: Other","Thousand","19.5"
"Number of Passengers Departing Overseas","2024 February","Overnight Foreign Resident Visitor","Thousand","433.3"
"Number of Passengers Departing Overseas","2024 February","All Passenger Categories","Thousand","1288.5"
"Number of Passengers Departing Overseas","2024 March","Outbound Irish","Thousand","1003.5"
"Number of Passengers Departing Overseas","2024 March","Same Day Visitor: Northern Irish","Thousand","59.8"
"Number of Passengers Departing Overseas","2024 March","Same Day Visitor: Transfer","Thousand","50"
"Number of Passengers Departing Overseas","2024 March","Same Day Visitor: Other","Thousand","19.1"
"Number of Passengers Departing Overseas","2024 March","Overnight Foreign Resident Visitor","Thousand","521.8"
"Number of Passengers Departing Overseas","2024 March","All Passenger Categories","Thousand","1654.2"
"Number of Passengers Departing Overseas","2024 April","Outbound Irish","Thousand","1031.1"
"Number of Passengers Departing Overseas","2024 April","Same Day Visitor: Northern Irish","Thousand","63.9"
"Number of Passengers Departing Overseas","2024 April","Same Day Visitor: Transfer","Thousand","68.2"
"Number of Passengers Departing Overseas","2024 April","Same Day Visitor: Other","Thousand","26.1"
"Number of Passengers Departing Overseas","2024 April","Overnight Foreign Resident Visitor","Thousand","549.1"
"Number of Passengers Departing Overseas","2024 April","All Passenger Categories","Thousand","1738.4"
"Number of Passengers Departing Overseas","2024 May","Outbound Irish","Thousand","1255.4"
"Number of Passengers Departing Overseas","2024 May","Same Day Visitor: Northern Irish","Thousand","68"
"Number of Passengers Departing Overseas","2024 May","Same Day Visitor: Transfer","Thousand","94.1"
"Number of Passengers Departing Overseas","2024 May","Same Day Visitor: Other","Thousand","18"
"Number of Passengers Departing Overseas","2024 May","Overnight Foreign Resident Visitor","Thousand","622.3"
"Number of Passengers Departing Overseas","2024 May","All Passenger Categories","Thousand","2057.8"
"Number of Passengers Departing Overseas","2024 June","Outbound Irish","Thousand","1283"
"Number of Passengers Departing Overseas","2024 June","Same Day Visitor: Northern Irish","Thousand","77.3"
"Number of Passengers Departing Overseas","2024 June","Same Day Visitor: Transfer","Thousand","107.3"
"Number of Passengers Departing Overseas","2024 June","Same Day Visitor: Other","Thousand","24.5"
"Number of Passengers Departing Overseas","2024 June","Overnight Foreign Resident Visitor","Thousand","669.5"
"Number of Passengers Departing Overseas","2024 June","All Passenger Categories","Thousand","2161.6"
"Number of Passengers Departing Overseas","2024 July","Outbound Irish","Thousand","1363.4"
"Number of Passengers Departing Overseas","2024 July","Same Day Visitor: Northern Irish","Thousand","100.5"
"Number of Passengers Departing Overseas","2024 July","Same Day Visitor: Transfer","Thousand","97.5"
"Number of Passengers Departing Overseas","2024 July","Same Day Visitor: Other","Thousand","26.1"
"Number of Passengers Departing Overseas","2024 July","Overnight Foreign Resident Visitor","Thousand","655.4"
"Number of Passengers Departing Overseas","2024 July","All Passenger Categories","Thousand","2243"
"Number of Passengers Departing Overseas","2024 August","Outbound Irish","Thousand","1313.8"
"Number of Passengers Departing Overseas","2024 August","Same Day Visitor: Northern Irish","Thousand","92.5"
"Number of Passengers Departing Overseas","2024 August","Same Day Visitor: Transfer","Thousand","111.8"
"Number of Passengers Departing Overseas","2024 August","Same Day Visitor: Other","Thousand","26.4"
"Number of Passengers Departing Overseas","2024 August","Overnight Foreign Resident Visitor","Thousand","763.6"
"Number of Passengers Departing Overseas","2024 August","All Passenger Categories","Thousand","2308"
"Percentage of Passengers Departing Overseas","2023 January","Outbound Irish","%","58.1"
"Percentage of Passengers Departing Overseas","2023 January","Same Day Visitor: Northern Irish","%","4"
"Percentage of Passengers Departing Overseas","2023 January","Same Day Visitor: Transfer","%","3.9"
"Percentage of Passengers Departing Overseas","2023 January","Same Day Visitor: Other","%","1.4"
"Percentage of Passengers Departing Overseas","2023 January","Overnight Foreign Resident Visitor","%","32.5"
"Percentage of Passengers Departing Overseas","2023 January","All Passenger Categories","%","100"
"Percentage of Passengers Departing Overseas","2023 February","Outbound Irish","%","63.6"
"Percentage of Passengers Departing Overseas","2023 February","Same Day Visitor: Northern Irish","%","5"
"Percentage of Passengers Departing Overseas","2023 February","Same Day Visitor: Transfer","%","2.8"
"Percentage of Passengers Departing Overseas","2023 February","Same Day Visitor: Other","%","0.9"
"Percentage of Passengers Departing Overseas","2023 February","Overnight Foreign Resident Visitor","%","27.8"
"Percentage of Passengers Departing Overseas","2023 February","All Passenger Categories","%","100"
"Percentage of Passengers Departing Overseas","2023 March","Outbound Irish","%","61"
"Percentage of Passengers Departing Overseas","2023 March","Same Day Visitor: Northern Irish","%","5.5"
"Percentage of Passengers Departing Overseas","2023 March","Same Day Visitor: Transfer","%","3.8"
"Percentage of Passengers Departing Overseas","2023 March","Same Day Visitor: Other","%","0.9"
"Percentage of Passengers Departing Overseas","2023 March","Overnight Foreign Resident Visitor","%","28.7"
"Percentage of Passengers Departing Overseas","2023 March","All Passenger Categories","%","100"
"Percentage of Passengers Departing Overseas","2023 April","Outbound Irish","%","62.9"
"Percentage of Passengers Departing Overseas","2023 April","Same Day Visitor: Northern Irish","%","6"
"Percentage of Passengers Departing Overseas","2023 April","Same Day Visitor: Transfer","%","4.3"
"Percentage of Passengers Departing Overseas","2023 April","Same Day Visitor: Other","%","0.6"
"Percentage of Passengers Departing Overseas","2023 April","Overnight Foreign Resident Visitor","%","26.2"
"Percentage of Passengers Departing Overseas","2023 April","All Passenger Categories","%","100"
"Percentage of Passengers Departing Overseas","2023 May","Outbound Irish","%","58.3"
"Percentage of Passengers Departing Overseas","2023 May","Same Day Visitor: Northern Irish","%","5.3"
"Percentage of Passengers Departing Overseas","2023 May","Same Day Visitor: Transfer","%","5.3"
"Percentage of Passengers Departing Overseas","2023 May","Same Day Visitor: Other","%","0.9"
"Percentage of Passengers Departing Overseas","2023 May","Overnight Foreign Resident Visitor","%","30.2"
"Percentage of Passengers Departing Overseas","2023 May","All Passenger Categories","%","100"
"Percentage of Passengers Departing Overseas","2023 June","Outbound Irish","%","59"
"Percentage of Passengers Departing Overseas","2023 June","Same Day Visitor: Northern Irish","%","5.2"
"Percentage of Passengers Departing Overseas","2023 June","Same Day Visitor: Transfer","%","4.9"
"Percentage of Passengers Departing Overseas","2023 June","Same Day Visitor: Other","%","1.2"
"Percentage of Passengers Departing Overseas","2023 June","Overnight Foreign Resident Visitor","%","29.7"
"Percentage of Passengers Departing Overseas","2023 June","All Passenger Categories","%","100"
"Percentage of Passengers Departing Overseas","2023 July","Outbound Irish","%","58.7"
"Percentage of Passengers Departing Overseas","2023 July","Same Day Visitor: Northern Irish","%","5.9"
"Percentage of Passengers Departing Overseas","2023 July","Same Day Visitor: Transfer","%","4.7"
"Percentage of Passengers Departing Overseas","2023 July","Same Day Visitor: Other","%","0.8"
"Percentage of Passengers Departing Overseas","2023 July","Overnight Foreign Resident Visitor","%","29.9"
"Percentage of Passengers Departing Overseas","2023 July","All Passenger Categories","%","100"
"Percentage of Passengers Departing Overseas","2023 August","Outbound Irish","%","55"
"Percentage of Passengers Departing Overseas","2023 August","Same Day Visitor: Northern Irish","%","5.3"
"Percentage of Passengers Departing Overseas","2023 August","Same Day Visitor: Transfer","%","4.4"
"Percentage of Passengers Departing Overseas","2023 August","Same Day Visitor: Other","%","1.7"
"Percentage of Passengers Departing Overseas","2023 August","Overnight Foreign Resident Visitor","%","33.6"
"Percentage of Passengers Departing Overseas","2023 August","All Passenger Categories","%","100"
"Percentage of Passengers Departing Overseas","2023 September","Outbound Irish","%","59.7"
"Percentage of Passengers Departing Overseas","2023 September","Same Day Visitor: Northern Irish","%","4.4"
"Percentage of Passengers Departing Overseas","2023 September","Same Day Visitor: Transfer","%","4.5"
"Percentage of Passengers Departing Overseas","2023 September","Same Day Visitor: Other","%","0.9"
"Percentage of Passengers Departing Overseas","2023 September","Overnight Foreign Resident Visitor","%","30.5"
"Percentage of Passengers Departing Overseas","2023 September","All Passenger Categories","%","100"
"Percentage of Passengers Departing Overseas","2023 October","Outbound Irish","%","59.3"
"Percentage of Passengers Departing Overseas","2023 October","Same Day Visitor: Northern Irish","%","3.7"
"Percentage of Passengers Departing Overseas","2023 October","Same Day Visitor: Transfer","%","4.3"
"Percentage of Passengers Departing Overseas","2023 October","Same Day Visitor: Other","%","1.2"
"Percentage of Passengers Departing Overseas","2023 October","Overnight Foreign Resident Visitor","%","31.6"
"Percentage of Passengers Departing Overseas","2023 October","All Passenger Categories","%","100"
"Percentage of Passengers Departing Overseas","2023 November","Outbound Irish","%","57.9"
"Percentage of Passengers Departing Overseas","2023 November","Same Day Visitor: Northern Irish","%","4"
"Percentage of Passengers Departing Overseas","2023 November","Same Day Visitor: Transfer","%","3.7"
"Percentage of Passengers Departing Overseas","2023 November","Same Day Visitor: Other","%","1.6"
"Percentage of Passengers Departing Overseas","2023 November","Overnight Foreign Resident Visitor","%","32.9"
"Percentage of Passengers Departing Overseas","2023 November","All Passenger Categories","%","100"
"Percentage of Passengers Departing Overseas","2023 December","Outbound Irish","%","60.1"
"Percentage of Passengers Departing Overseas","2023 December","Same Day Visitor: Northern Irish","%","3.8"
"Percentage of Passengers Departing Overseas","2023 December","Same Day Visitor: Transfer","%","4.6"
"Percentage of Passengers Departing Overseas","2023 December","Same Day Visitor: Other","%","1.5"
"Percentage of Passengers Departing Overseas","2023 December","Overnight Foreign Resident Visitor","%","30"
"Percentage of Passengers Departing Overseas","2023 December","All Passenger Categories","%","100"
"Percentage of Passengers Departing Overseas","2024 January","Outbound Irish","%","56.3"
"Percentage of Passengers Departing Overseas","2024 January","Same Day Visitor: Northern Irish","%","3.8"
"Percentage of Passengers Departing Overseas","2024 January","Same Day Visitor: Transfer","%","3.3"
"Percentage of Passengers Departing Overseas","2024 January","Same Day Visitor: Other","%","1.4"
"Percentage of Passengers Departing Overseas","2024 January","Overnight Foreign Resident Visitor","%","35.3"
"Percentage of Passengers Departing Overseas","2024 January","All Passenger Categories","%","100"
"Percentage of Passengers Departing Overseas","2024 February","Outbound Irish","%","59.1"
"Percentage of Passengers Departing Overseas","2024 February","Same Day Visitor: Northern Irish","%","3.7"
"Percentage of Passengers Departing Overseas","2024 February","Same Day Visitor: Transfer","%","2.1"
"Percentage of Passengers Departing Overseas","2024 February","Same Day Visitor: Other","%","1.5"
"Percentage of Passengers Departing Overseas","2024 February","Overnight Foreign Resident Visitor","%","33.6"
"Percentage of Passengers Departing Overseas","2024 February","All Passenger Categories","%","100"
"Percentage of Passengers Departing Overseas","2024 March","Outbound Irish","%","60.7"
"Percentage of Passengers Departing Overseas","2024 March","Same Day Visitor: Northern Irish","%","3.6"
"Percentage of Passengers Departing Overseas","2024 March","Same Day Visitor: Transfer","%","3"
"Percentage of Passengers Departing Overseas","2024 March","Same Day Visitor: Other","%","1.2"
"Percentage of Passengers Departing Overseas","2024 March","Overnight Foreign Resident Visitor","%","31.5"
"Percentage of Passengers Departing Overseas","2024 March","All Passenger Categories","%","100"
"Percentage of Passengers Departing Overseas","2024 April","Outbound Irish","%","59.3"
"Percentage of Passengers Departing Overseas","2024 April","Same Day Visitor: Northern Irish","%","3.7"
"Percentage of Passengers Departing Overseas","2024 April","Same Day Visitor: Transfer","%","3.9"
"Percentage of Passengers Departing Overseas","2024 April","Same Day Visitor: Other","%","1.5"
"Percentage of Passengers Departing Overseas","2024 April","Overnight Foreign Resident Visitor","%","31.6"
"Percentage of Passengers Departing Overseas","2024 April","All Passenger Categories","%","100"
"Percentage of Passengers Departing Overseas","2024 May","Outbound Irish","%","61"
"Percentage of Passengers Departing Overseas","2024 May","Same Day Visitor: Northern Irish","%","3.3"
"Percentage of Passengers Departing Overseas","2024 May","Same Day Visitor: Transfer","%","4.6"
"Percentage of Passengers Departing Overseas","2024 May","Same Day Visitor: Other","%","0.9"
"Percentage of Passengers Departing Overseas","2024 May","Overnight Foreign Resident Visitor","%","30.2"
"Percentage of Passengers Departing Overseas","2024 May","All Passenger Categories","%","100"
"Percentage of Passengers Departing Overseas","2024 June","Outbound Irish","%","59.4"
"Percentage of Passengers Departing Overseas","2024 June","Same Day Visitor: Northern Irish","%","3.6"
"Percentage of Passengers Departing Overseas","2024 June","Same Day Visitor: Transfer","%","5"
"Percentage of Passengers Departing Overseas","2024 June","Same Day Visitor: Other","%","1.1"
"Percentage of Passengers Departing Overseas","2024 June","Overnight Foreign Resident Visitor","%","31"
"Percentage of Passengers Departing Overseas","2024 June","All Passenger Categories","%","100"
"Percentage of Passengers Departing Overseas","2024 July","Outbound Irish","%","60.8"
"Percentage of Passengers Departing Overseas","2024 July","Same Day Visitor: Northern Irish","%","4.5"
"Percentage of Passengers Departing Overseas","2024 July","Same Day Visitor: Transfer","%","4.3"
"Percentage of Passengers Departing Overseas","2024 July","Same Day Visitor: Other","%","1.2"
"Percentage of Passengers Departing Overseas","2024 July","Overnight Foreign Resident Visitor","%","29.2"
"Percentage of Passengers Departing Overseas","2024 July","All Passenger Categories","%","100"
"Percentage of Passengers Departing Overseas","2024 August","Outbound Irish","%","56.9"
"Percentage of Passengers Departing Overseas","2024 August","Same Day Visitor: Northern Irish","%","4"
"Percentage of Passengers Departing Overseas","2024 August","Same Day Visitor: Transfer","%","4.8"
"Percentage of Passengers Departing Overseas","2024 August","Same Day Visitor: Other","%","1.1"
"Percentage of Passengers Departing Overseas","2024 August","Overnight Foreign Resident Visitor","%","33.1"
"Percentage of Passengers Departing Overseas","2024 August","All Passenger Categories","%","100"
